locus	ensg_id	gene_symbol	alignment_length	gc_percent	variable_sites	parsimony_informative_sites	pct_informative_sites	gc3_bucket	resolution_bucket	rate_bucket	completeness_bucket
ENSG00000150893_FREM2	ENSG00000150893	FREM2	9519	51.61	4810	2804	29.46	GC2	90	fast	80
ENSG00000150961_SEC24D	ENSG00000150961	SEC24D	3102	50.46	1423	857	27.63	GC2	80	fast	90
ENSG00000150967_ABCB9	ENSG00000150967	ABCB9	2301	62.02	1123	430	18.69		70	fast	80
ENSG00000150977_RILPL2	ENSG00000150977	RILPL2	630	60.92	312	180	28.57			slow	80
ENSG00000150990_DHX37	ENSG00000150990	DHX37	3462	61.39	1866	1004	29.00		70	fast	70
ENSG00000151012_SLC7A11	ENSG00000151012	SLC7A11	1512	47.04	621	318	21.03	GC2		slow	90
ENSG00000151023_ENKUR	ENSG00000151023	ENKUR	768	41.10	408	226	29.43	GC3		slow	90
ENSG00000151025_GPR158	ENSG00000151025	GPR158	3645	52.12	1649	862	23.65	GC2		slow	
ENSG00000151065_DCP1B	ENSG00000151065	DCP1B	1842	55.98	1157	746	40.50	GC1	70	fast	90
ENSG00000151067_CACNA1C	ENSG00000151067	CACNA1C	5982	55.65	2077	1202	20.09		70	slow	80
ENSG00000151079_KCNA6	ENSG00000151079	KCNA6	1593	61.33	519	278	17.45		70	slow	
ENSG00000151090_THRB	ENSG00000151090	THRB	1428	49.90	576	388	27.17	GC2		slow	90
ENSG00000151092_NGLY1	ENSG00000151092	NGLY1	1965	43.76	955	521	26.51	GC3	80	fast	90
ENSG00000151093_OXSM	ENSG00000151093	OXSM	1386	48.01	648	418	30.16	GC3	80	slow	90
ENSG00000151116_UEVLD	ENSG00000151116	UEVLD	1416	42.54	618	330	23.31	GC3		fast	90
ENSG00000151117_TMEM86A	ENSG00000151117	TMEM86A	723	59.31	311	172	23.79			slow	90
ENSG00000151136_BTBD11	ENSG00000151136	BTBD11	3216	58.92	792	356	11.07			fast	80
ENSG00000151148_UBE3B	ENSG00000151148	UBE3B	3207	53.10	1225	723	22.54	GC1		slow	90
ENSG00000151164_RAD9B	ENSG00000151164	RAD9B	1245	40.72	774	453	36.39	GC3	70	fast	90
ENSG00000151208_DLG5	ENSG00000151208	DLG5	5478	59.16	2267	1260	23.00		80	fast	80
ENSG00000151224_MAT1A	ENSG00000151224	MAT1A	1191	57.81	442	273	22.92			fast	80
ENSG00000151229_SLC2A13	ENSG00000151229	SLC2A13	1944	51.25	751	326	16.77	GC2	70	fast	80
ENSG00000151233_GXYLT1	ENSG00000151233	GXYLT1	1314	41.97	602	291	22.15	GC3	70	fast	90
ENSG00000151239_TWF1	ENSG00000151239	TWF1	1053	38.86	330	159	15.10	GC3	70	slow	90
ENSG00000151240_DIP2C	ENSG00000151240	DIP2C	4584	55.40	1608	1147	25.02	GC1	80	fast	90
ENSG00000151247_EIF4E	ENSG00000151247	EIF4E	654	41.31	123	60	9.17	GC3		slow	80
ENSG00000151287_TEX30	ENSG00000151287	TEX30	684	38.79	247	103	15.06	GC3		slow	90
ENSG00000151292_CSNK1G3	ENSG00000151292	CSNK1G3	1368	40.26	301	151	11.04	GC3		slow	90
ENSG00000151304_SRFBP1	ENSG00000151304	SRFBP1	1287	38.63	731	383	29.76	GC3	80	fast	90
ENSG00000151320_AKAP6	ENSG00000151320	AKAP6	6963	46.94	3467	2018	28.98	GC3	90	fast	90
ENSG00000151332_MBIP	ENSG00000151332	MBIP	1035	42.65	454	236	22.80	GC3	70	slow	90
ENSG00000151338_MIPOL1	ENSG00000151338	MIPOL1	1329	40.86	715	322	24.23	GC3		fast	80
ENSG00000151348_EXT2	ENSG00000151348	EXT2	2157	53.67	855	515	23.88	GC1	70	fast	90
ENSG00000151360_ALLC	ENSG00000151360	ALLC	1239	51.10	746	502	40.52	GC2	70	fast	90
ENSG00000151388_ADAMTS12	ENSG00000151388	ADAMTS12	4803	53.51	2903	1610	33.52	GC2	80	fast	90
ENSG00000151413_NUBPL	ENSG00000151413	NUBPL	960	47.05	428	228	23.75	GC3		slow	90
ENSG00000151414_NEK7	ENSG00000151414	NEK7	909	43.34	278	162	17.82	GC3		slow	90
ENSG00000151422_FER	ENSG00000151422	FER	2469	39.62	860	499	20.21	GC3	70	fast	90
ENSG00000151445_VIPAS39	ENSG00000151445	VIPAS39	1482	49.24	556	326	22.00	GC2		slow	90
ENSG00000151461_UPF2	ENSG00000151461	UPF2	3816	41.02	1272	617	16.17	GC3	80	slow	90
ENSG00000151465_CDC123	ENSG00000151465	CDC123	1011	43.28	397	230	22.75	GC3		slow	90
ENSG00000151466_SCLT1	ENSG00000151466	SCLT1	2067	38.83	1052	479	23.17	GC3	80	fast	80
ENSG00000151470_C4orf33	ENSG00000151470	C4orf33	600	40.71	237	101	16.83	GC3		slow	70
ENSG00000151474_FRMD4A	ENSG00000151474	FRMD4A	3066	57.69	1081	626	20.42	GC1		fast	80
ENSG00000151475_SLC25A31	ENSG00000151475	SLC25A31	951	45.73	361	188	19.77	GC3		slow	90
ENSG00000151490_PTPRO	ENSG00000151490	PTPRO	3645	45.30	1405	797	21.87	GC2	80	fast	80
ENSG00000151491_EPS8	ENSG00000151491	EPS8	2469	46.87	1052	650	26.33	GC3	80	slow	90
ENSG00000151498_ACAD8	ENSG00000151498	ACAD8	1248	55.30	783	436	34.94	GC1		fast	90
ENSG00000151500_THYN1	ENSG00000151500	THYN1	681	51.23	334	189	27.75	GC2		slow	
ENSG00000151502_VPS26B	ENSG00000151502	VPS26B	1011	54.61	309	181	17.90			fast	80
ENSG00000151503_NCAPD3	ENSG00000151503	NCAPD3	4500	48.28	2988	2094	46.53	GC2	90	fast	90
ENSG00000151532_VTI1A	ENSG00000151532	VTI1A	654	49.83	219	103	15.75	GC2		fast	90
ENSG00000151552_QDPR	ENSG00000151552	QDPR	729	60.27	316	185	25.38			fast	90
ENSG00000151553_FAM160B1	ENSG00000151553	FAM160B1	2274	45.32	948	614	27.00	GC3	70	fast	90
ENSG00000151572_ANO4	ENSG00000151572	ANO4	2826	44.62	797	447	15.82	GC2		slow	90
ENSG00000151575_TEX9	ENSG00000151575	TEX9	1179	38.84	707	370	31.38	GC3	70	fast	90
ENSG00000151576_QTRTD1	ENSG00000151576	QTRTD1	1248	48.63	535	256	20.51	GC2	70	fast	80
ENSG00000151577_DRD3	ENSG00000151577	DRD3	1203	56.45	502	305	25.35	GC1	70	slow	90
ENSG00000151611_MMAA	ENSG00000151611	MMAA	1263	45.07	568	312	24.70	GC3	70	fast	80
ENSG00000151612_ZNF827	ENSG00000151612	ZNF827	3243	54.13	1103	673	20.75	GC1	90	fast	90
ENSG00000151615_POU4F2	ENSG00000151615	POU4F2	1227	64.92	363	186	15.16			slow	80
ENSG00000151617_EDNRA	ENSG00000151617	EDNRA	1284	46.39	483	306	23.83	GC2	70	fast	90
ENSG00000151623_NR3C2	ENSG00000151623	NR3C2	2967	49.17	1168	619	20.86	GC2	70	fast	80
ENSG00000151655_ITIH2	ENSG00000151655	ITIH2	2841	47.10	1373	886	31.19	GC2	80	fast	80
ENSG00000151657_KIN	ENSG00000151657	KIN	1182	43.28	426	269	22.76	GC3		slow	90
ENSG00000151665_PIGF	ENSG00000151665	PIGF	660	38.69	337	154	23.33	GC3		fast	90
ENSG00000151687_ANKAR	ENSG00000151687	ANKAR	4302	39.52	2205	1341	31.17	GC3	80	fast	90
ENSG00000151689_INPP1	ENSG00000151689	INPP1	1200	49.41	640	426	35.50	GC2	70	fast	90
ENSG00000151690_MFSD6	ENSG00000151690	MFSD6	2382	51.58	1111	737	30.94	GC2	80	fast	90
ENSG00000151692_RNF144A	ENSG00000151692	RNF144A	879	56.83	339	206	23.44	GC1		fast	90
ENSG00000151693_ASAP2	ENSG00000151693	ASAP2	2895	52.79	1175	714	24.66	GC1	80	fast	90
ENSG00000151694_ADAM17	ENSG00000151694	ADAM17	2484	47.54	1008	662	26.65	GC2	70	slow	90
ENSG00000151704_KCNJ1	ENSG00000151704	KCNJ1	1176	46.20	504	322	27.38	GC2	70	slow	90
ENSG00000151715_TMEM45B	ENSG00000151715	TMEM45B	831	51.78	453	316	38.03	GC1	70	slow	90
ENSG00000151718_WWC2	ENSG00000151718	WWC2	3450	52.59	1820	1117	32.38	GC2	80	fast	90
ENSG00000151725_CENPU	ENSG00000151725	CENPU	1254	41.99	945	574	45.77	GC3	70	fast	80
ENSG00000151726_ACSL1	ENSG00000151726	ACSL1	2097	49.77	976	622	29.66	GC2	70	fast	90
ENSG00000151729_SLC25A4	ENSG00000151729	SLC25A4	897	55.37	332	171	19.06	GC1		slow	90
ENSG00000151743_AMN1	ENSG00000151743	AMN1	777	41.68	296	158	20.33	GC3	80	fast	70
ENSG00000151748_SAV1	ENSG00000151748	SAV1	1155	44.41	410	180	15.58	GC3		slow	90
ENSG00000151773_CCDC122	ENSG00000151773	CCDC122	822	34.78	473	237	28.83	GC3		fast	90
ENSG00000151779_NBAS	ENSG00000151779	NBAS	7119	49.50	3794	2193	30.80	GC2	80	fast	80
ENSG00000151790_TDO2	ENSG00000151790	TDO2	1221	42.47	562	333	27.27	GC3		fast	90
ENSG00000151806_GUF1	ENSG00000151806	GUF1	2010	40.04	870	440	21.89	GC3	80	slow	90
ENSG00000151812_SLC35F4	ENSG00000151812	SLC35F4	1362	47.40	528	258	18.94	GC2		slow	90
ENSG00000151834_GABRA2	ENSG00000151834	GABRA2	1356	41.34	364	206	15.19	GC3		fast	90
ENSG00000151835_SACS	ENSG00000151835	SACS	13737	43.53	6056	4405	32.07	GC3	90	slow	90
ENSG00000151838_CCDC175	ENSG00000151838	CCDC175	2391	36.92	1883	1287	53.83	GC3	80	fast	90
ENSG00000151849_CENPJ	ENSG00000151849	CENPJ	4038	40.77	2446	1377	34.10	GC3	90	slow	80
ENSG00000151876_FBXO4	ENSG00000151876	FBXO4	1164	44.85	507	259	22.25	GC3		slow	90
ENSG00000151883_PARP8	ENSG00000151883	PARP8	2565	45.22	854	430	16.76	GC3	70	slow	90
ENSG00000151893_CACUL1	ENSG00000151893	CACUL1	1110	48.98	345	138	12.43	GC2		slow	80
ENSG00000151914_DST	ENSG00000151914	DST	22632	44.51	11386	7088	31.32	GC3	90	fast	90
ENSG00000151917_BEND6	ENSG00000151917	BEND6	840	43.10	355	206	24.52	GC3		fast	90
ENSG00000151923_TIAL1	ENSG00000151923	TIAL1	1179	43.64	272	135	11.45	GC3		slow	90
ENSG00000151929_BAG3	ENSG00000151929	BAG3	1728	62.28	1026	580	33.56	GC1	80	fast	90
ENSG00000151948_GLT1D1	ENSG00000151948	GLT1D1	975	52.59	557	339	34.77	GC2		slow	70
ENSG00000151952_TMEM132D	ENSG00000151952	TMEM132D	3300	59.06	1666	925	28.03		70	slow	
ENSG00000151962_RBM46	ENSG00000151962	RBM46	1602	39.82	536	279	17.42	GC3		slow	90
ENSG00000152092_ASTN1	ENSG00000152092	ASTN1	3786	57.05	1146	626	16.53	GC1	80	fast	80
ENSG00000152104_PTPN14	ENSG00000152104	PTPN14	3564	56.83	1403	807	22.64		80	fast	80
ENSG00000152127_MGAT5	ENSG00000152127	MGAT5	2226	48.85	802	428	19.23	GC2	70	fast	90
ENSG00000152128_TMEM163	ENSG00000152128	TMEM163	855	56.12	324	157	18.36	GC1		fast	90
ENSG00000152133_GPATCH11	ENSG00000152133	GPATCH11	795	41.69	369	194	24.40	GC3		fast	90
ENSG00000152193_RNF219	ENSG00000152193	RNF219	2181	41.19	906	463	21.23	GC3	80	slow	90
ENSG00000152207_CYSLTR2	ENSG00000152207	CYSLTR2	1038	46.06	626	366	35.26	GC2	70	slow	
ENSG00000152219_ARL14EP	ENSG00000152219	ARL14EP	783	41.69	278	160	20.43	GC3		slow	90
ENSG00000152223_EPG5	ENSG00000152223	EPG5	7740	48.86	3558	1922	24.83	GC2	80	fast	90
ENSG00000152229_PSTPIP2	ENSG00000152229	PSTPIP2	996	46.41	456	301	30.22	GC2		fast	90
ENSG00000152240_HAUS1	ENSG00000152240	HAUS1	837	42.94	483	245	29.27	GC3		slow	90
ENSG00000152242_C18orf25	ENSG00000152242	C18orf25	1215	49.59	378	192	15.80	GC3		slow	90
ENSG00000152253_SPC25	ENSG00000152253	SPC25	681	37.28	385	204	29.96	GC3		slow	90
ENSG00000152254_G6PC2	ENSG00000152254	G6PC2	1068	45.49	494	268	25.09	GC2	70	slow	90
ENSG00000152270_PDE3B	ENSG00000152270	PDE3B	3063	46.11	1439	740	24.16	GC3	80	fast	90
ENSG00000152284_TCF7L1	ENSG00000152284	TCF7L1	1692	62.15	557	278	16.43		70	fast	90
ENSG00000152291_TGOLN2	ENSG00000152291	TGOLN2	1137	53.80	943	683	60.07	GC2		fast	
ENSG00000152315_KCNK13	ENSG00000152315	KCNK13	1227	60.59	553	282	22.98		70	slow	70
ENSG00000152332_UHMK1	ENSG00000152332	UHMK1	1260	50.78	410	218	17.30	GC2	70	slow	80
ENSG00000152348_ATG10	ENSG00000152348	ATG10	663	44.25	376	209	31.52	GC3		slow	80
ENSG00000152359_POC5	ENSG00000152359	POC5	1725	45.47	1035	653	37.86	GC3	70	fast	90
ENSG00000152377_SPOCK1	ENSG00000152377	SPOCK1	1128	54.86	443	228	20.21	GC1		fast	90
ENSG00000152380_FAM151B	ENSG00000152380	FAM151B	831	42.65	432	237	28.52	GC3		slow	90
ENSG00000152382_TADA1	ENSG00000152382	TADA1	1008	51.04	354	223	22.12	GC2		slow	90
ENSG00000152402_GUCY1A2	ENSG00000152402	GUCY1A2	1896	47.17	741	424	22.36	GC2		fast	90
ENSG00000152404_CWF19L2	ENSG00000152404	CWF19L2	2682	40.53	1532	842	31.39	GC3	80	fast	90
ENSG00000152409_JMY	ENSG00000152409	JMY	2937	52.32	1463	710	24.17	GC2	70	fast	90
ENSG00000152413_HOMER1	ENSG00000152413	HOMER1	1065	43.41	281	133	12.49	GC3		slow	90
ENSG00000152422_XRCC4	ENSG00000152422	XRCC4	1008	40.22	631	307	30.46	GC3	70	fast	90
ENSG00000152457_DCLRE1C	ENSG00000152457	DCLRE1C	2082	44.95	1159	729	35.01	GC3	70	fast	90
ENSG00000152464_RPP38	ENSG00000152464	RPP38	852	47.83	525	374	43.90	GC2	90	slow	80
ENSG00000152465_NMT2	ENSG00000152465	NMT2	1467	47.54	583	346	23.59	GC2	80	fast	90
ENSG00000152484_USP12	ENSG00000152484	USP12	1113	41.82	358	221	19.86	GC3		slow	80
ENSG00000152492_CCDC50	ENSG00000152492	CCDC50	1449	49.08	953	510	35.20	GC2	70	slow	90
ENSG00000152495_CAMK4	ENSG00000152495	CAMK4	1422	49.63	685	362	25.46	GC2		fast	90
ENSG00000152503_TRIM36	ENSG00000152503	TRIM36	2190	43.81	862	549	25.07	GC3	70	slow	90
ENSG00000152520_PAN3	ENSG00000152520	PAN3	2226	44.45	618	317	14.24	GC3		slow	90
ENSG00000152556_PFKM	ENSG00000152556	PFKM	2556	54.37	909	530	20.74	GC1	70	fast	90
ENSG00000152578_GRIA4	ENSG00000152578	GRIA4	2709	45.23	774	416	15.36	GC3		slow	90
ENSG00000152580_IGSF10	ENSG00000152580	IGSF10	7884	47.34	5301	3146	39.90	GC3	90	fast	80
ENSG00000152582_SPEF2	ENSG00000152582	SPEF2	5460	42.05	3275	1981	36.28	GC3	90	fast	90
ENSG00000152583_SPARCL1	ENSG00000152583	SPARCL1	1974	45.09	1310	833	42.20	GC3	80	fast	90
ENSG00000152592_DMP1	ENSG00000152592	DMP1	1545	50.85	1029	593	38.38	GC2		fast	80
ENSG00000152601_MBNL1	ENSG00000152601	MBNL1	1164	51.05	202	92	7.90	GC2		slow	90
ENSG00000152611_CAPSL	ENSG00000152611	CAPSL	627	46.17	255	152	24.24	GC2		slow	90
ENSG00000152642_GPD1L	ENSG00000152642	GPD1L	1056	53.52	396	252	23.86	GC1		fast	90
ENSG00000152661_GJA1	ENSG00000152661	GJA1	1149	50.60	342	187	16.28	GC1		slow	80
ENSG00000152669_CCNO	ENSG00000152669	CCNO	1059	65.40	659	341	32.20			slow	90
ENSG00000152670_DDX4	ENSG00000152670	DDX4	2181	41.83	829	378	17.33	GC3	70	slow	90
ENSG00000152672_CLEC4F	ENSG00000152672	CLEC4F	1704	49.59	1386	908	53.29	GC2	70	fast	80
ENSG00000152683_SLC30A6	ENSG00000152683	SLC30A6	1386	42.11	531	248	17.89	GC3		slow	70
ENSG00000152689_RASGRP3	ENSG00000152689	RASGRP3	2079	48.10	803	421	20.25	GC2	70	slow	90
ENSG00000152705_CATSPER3	ENSG00000152705	CATSPER3	1197	48.77	775	469	39.18	GC1	70	fast	90
ENSG00000152749_GPR180	ENSG00000152749	GPR180	1323	46.45	598	315	23.81	GC2	70	slow	90
ENSG00000152763_WDR78	ENSG00000152763	WDR78	2454	40.19	1372	802	32.68	GC3	80	fast	90
ENSG00000152767_FARP1	ENSG00000152767	FARP1	3141	54.88	1301	725	23.08	GC1	80	fast	80
ENSG00000152779_SLC16A12	ENSG00000152779	SLC16A12	1461	48.90	634	387	26.49	GC2	70	slow	90
ENSG00000152785_BMP3	ENSG00000152785	BMP3	1419	50.59	804	450	31.71	GC2		fast	90
ENSG00000152795_HNRNPDL	ENSG00000152795	HNRNPDL	1263	49.43	290	102	8.08	GC3		fast	
ENSG00000152804_HHEX	ENSG00000152804	HHEX	813	58.84	333	121	14.88	GC1		fast	80
ENSG00000152818_UTRN	ENSG00000152818	UTRN	10302	47.71	5158	3206	31.12	GC2	90	fast	90
ENSG00000152822_GRM1	ENSG00000152822	GRM1	3579	55.41	1279	704	19.67	GC1	70	fast	90
ENSG00000152894_PTPRK	ENSG00000152894	PTPRK	4353	46.61	1364	806	18.52	GC3	70	slow	90
ENSG00000152904_GGPS1	ENSG00000152904	GGPS1	903	38.75	320	163	18.05	GC3		slow	80
ENSG00000152910_CNTNAP4	ENSG00000152910	CNTNAP4	3846	48.15	1943	1144	29.75	GC2	90	fast	90
ENSG00000152932_RAB3C	ENSG00000152932	RAB3C	684	45.77	197	118	17.25	GC2		slow	90
ENSG00000152936_LMNTD1	ENSG00000152936	LMNTD1	1188	43.69	910	621	52.27	GC3		fast	80
ENSG00000152939_MARVELD2	ENSG00000152939	MARVELD2	1680	50.69	888	560	33.33	GC2	80	fast	90
ENSG00000152942_RAD17	ENSG00000152942	RAD17	2049	39.76	1075	538	26.26	GC3	70	fast	90
ENSG00000152952_PLOD2	ENSG00000152952	PLOD2	2277	40.34	894	463	20.33	GC3		fast	90
ENSG00000152990_GPR125	ENSG00000152990	GPR125	3708	49.76	1647	1056	28.48	GC2	80	fast	90
ENSG00000153002_CPB1	ENSG00000153002	CPB1	1254	48.44	667	390	31.10	GC2		fast	90
ENSG00000153012_LGI2	ENSG00000153012	LGI2	1623	50.16	578	329	20.27	GC1		fast	90
ENSG00000153015_CWC27	ENSG00000153015	CWC27	1422	41.02	524	276	19.41	GC3		slow	80
ENSG00000153044_CENPH	ENSG00000153044	CENPH	735	40.69	455	251	34.15	GC3		fast	90
ENSG00000153064_BANK1	ENSG00000153064	BANK1	2358	43.62	1428	722	30.62	GC3	80	slow	
ENSG00000153066_TXNDC11	ENSG00000153066	TXNDC11	2823	53.76	1437	764	27.06	GC1	70	fast	90
ENSG00000153071_DAB2	ENSG00000153071	DAB2	2313	47.91	1020	585	25.29	GC3	80	slow	90
ENSG00000153086_ACMSD	ENSG00000153086	ACMSD	1011	48.83	445	224	22.16	GC2	70	fast	90
ENSG00000153093_ACOXL	ENSG00000153093	ACOXL	1650	50.68	809	392	23.76	GC2		fast	70
ENSG00000153113_CAST	ENSG00000153113	CAST	2337	47.58	1500	940	40.22	GC3	80	fast	90
ENSG00000153132_CLGN	ENSG00000153132	CLGN	1833	40.95	914	514	28.04	GC3	70	slow	90
ENSG00000153147_SMARCA5	ENSG00000153147	SMARCA5	3159	41.52	942	508	16.08	GC3	70	slow	90
ENSG00000153157_SYCP2L	ENSG00000153157	SYCP2L	2430	42.24	1753	1027	42.26	GC3	80	fast	70
ENSG00000153162_BMP6	ENSG00000153162	BMP6	1419	58.23	697	352	24.81	GC1		fast	80
ENSG00000153179_RASSF3	ENSG00000153179	RASSF3	666	49.77	306	150	22.52	GC1		fast	90
ENSG00000153201_RANBP2	ENSG00000153201	RANBP2	9321	41.21	4658	2666	28.60	GC3	90	slow	90
ENSG00000153207_AHCTF1	ENSG00000153207	AHCTF1	6843	42.87	4311	2644	38.64	GC3	90	fast	90
ENSG00000153208_MERTK	ENSG00000153208	MERTK	2940	51.69	1722	1081	36.77	GC2	80	fast	90
ENSG00000153214_TMEM87B	ENSG00000153214	TMEM87B	1644	40.51	779	419	25.49	GC3	70	fast	90
ENSG00000153233_PTPRR	ENSG00000153233	PTPRR	1968	45.94	913	490	24.90	GC3		fast	90
ENSG00000153234_NR4A2	ENSG00000153234	NR4A2	1797	55.52	370	189	10.52	GC1		slow	90
ENSG00000153237_CCDC148	ENSG00000153237	CCDC148	1776	38.62	1055	509	28.66	GC3	70	fast	90
ENSG00000153250_RBMS1	ENSG00000153250	RBMS1	1221	47.96	353	173	14.17	GC3		slow	90
ENSG00000153253_SCN3A	ENSG00000153253	SCN3A	6003	43.32	2049	1137	18.94	GC2	80	slow	90
ENSG00000153266_FEZF2	ENSG00000153266	FEZF2	1377	63.02	420	197	14.31			slow	90
ENSG00000153291_SLC25A27	ENSG00000153291	SLC25A27	972	47.02	363	181	18.62	GC3		fast	90
ENSG00000153292_GPR110	ENSG00000153292	GPR110	2733	47.04	1841	1188	43.47	GC2	80	fast	90
ENSG00000153294_GPR115	ENSG00000153294	GPR115	2085	45.70	1255	801	38.42	GC2	70	fast	90
ENSG00000153310_FAM49B	ENSG00000153310	FAM49B	975	41.51	219	130	13.33	GC3		slow	90
ENSG00000153317_ASAP1	ENSG00000153317	ASAP1	3402	51.83	1225	697	20.49	GC2	70	fast	90
ENSG00000153339_TRAPPC8	ENSG00000153339	TRAPPC8	4308	41.23	1489	671	15.58	GC3	80	slow	80
ENSG00000153446_C16orf89	ENSG00000153446	C16orf89	1074	58.17	660	365	33.99		70	fast	70
ENSG00000153558_FBXL2	ENSG00000153558	FBXL2	1269	53.58	499	302	23.80	GC1		slow	90
ENSG00000153560_UBP1	ENSG00000153560	UBP1	1623	48.25	567	317	19.53	GC2	70	slow	80
ENSG00000153561_RMND5A	ENSG00000153561	RMND5A	1176	45.66	351	167	14.20	GC3		fast	90
ENSG00000153563_CD8A	ENSG00000153563	CD8A	711	62.80	537	366	51.48			fast	80
ENSG00000153707_PTPRD	ENSG00000153707	PTPRD	5739	47.24	1527	854	14.88	GC3	80	slow	80
ENSG00000153714_LURAP1L	ENSG00000153714	LURAP1L	681	58.10	290	145	21.29	GC1		slow	80
ENSG00000153767_GTF2E1	ENSG00000153767	GTF2E1	1317	48.60	536	277	21.03	GC3		slow	90
ENSG00000153774_CFDP1	ENSG00000153774	CFDP1	900	47.27	379	221	24.56	GC2		slow	80
ENSG00000153786_ZDHHC7	ENSG00000153786	ZDHHC7	927	54.75	354	235	25.35	GC1	70	slow	90
ENSG00000153789_FAM92B	ENSG00000153789	FAM92B	870	57.68	562	348	40.00			fast	90
ENSG00000153790_C7orf31	ENSG00000153790	C7orf31	1773	42.82	995	535	30.17	GC3	80	fast	80
ENSG00000153802_TMPRSS11D	ENSG00000153802	TMPRSS11D	1257	43.42	826	528	42.00	GC3	70	fast	90
ENSG00000153814_JAZF1	ENSG00000153814	JAZF1	621	53.21	167	91	14.65	GC1		slow	90
ENSG00000153815_CMIP	ENSG00000153815	CMIP	2022	57.95	581	274	13.55			fast	90
ENSG00000153820_SPHKAP	ENSG00000153820	SPHKAP	5133	50.42	3329	2245	43.74	GC2	80	fast	90
ENSG00000153822_KCNJ16	ENSG00000153822	KCNJ16	1260	50.83	581	391	31.03	GC1	70	slow	90
ENSG00000153823_PID1	ENSG00000153823	PID1	654	54.02	260	130	19.88	GC1		slow	90
ENSG00000153827_TRIP12	ENSG00000153827	TRIP12	6123	46.41	1827	1006	16.43	GC3	90	slow	90
ENSG00000153885_KCTD15	ENSG00000153885	KCTD15	852	63.67	229	123	14.44			fast	80
ENSG00000153904_DDAH1	ENSG00000153904	DDAH1	858	53.50	355	179	20.86	GC1		fast	90
ENSG00000153914_SREK1	ENSG00000153914	SREK1	1881	44.57	544	239	12.71	GC3	70	fast	80
ENSG00000153922_CHD1	ENSG00000153922	CHD1	5133	39.78	1610	855	16.66	GC3	80	slow	90
ENSG00000153930_ANKFN1	ENSG00000153930	ANKFN1	2292	46.85	759	372	16.23	GC2		fast	90
ENSG00000153933_DGKE	ENSG00000153933	DGKE	1698	50.34	630	357	21.02	GC2	70	fast	90
ENSG00000153956_CACNA2D1	ENSG00000153956	CACNA2D1	3237	40.72	1202	625	19.31	GC3	80	slow	90
ENSG00000153975_ZUFSP	ENSG00000153975	ZUFSP	1740	39.02	828	413	23.74	GC3	70	slow	90
ENSG00000153982_GDPD1	ENSG00000153982	GDPD1	945	41.79	338	159	16.83	GC3		fast	90
ENSG00000153989_NUS1	ENSG00000153989	NUS1	882	54.51	324	148	16.78	GC1		slow	90
ENSG00000153993_SEMA3D	ENSG00000153993	SEMA3D	2334	44.39	936	490	20.99	GC3	70	slow	90
ENSG00000154001_PPP2R5E	ENSG00000154001	PPP2R5E	1404	40.66	268	104	7.41	GC3		slow	90
ENSG00000154007_ASB17	ENSG00000154007	ASB17	888	37.66	359	184	20.72	GC3		slow	90
ENSG00000154025_SLC5A10	ENSG00000154025	SLC5A10	1791	61.76	834	450	25.13			fast	80
ENSG00000154027_AK5	ENSG00000154027	AK5	1689	47.31	666	352	20.84	GC2	70	slow	90
ENSG00000154040_CABYR	ENSG00000154040	CABYR	1473	48.23	1077	791	53.70	GC3	70	fast	90
ENSG00000154059_IMPACT	ENSG00000154059	IMPACT	960	42.52	451	248	25.83	GC3		slow	80
ENSG00000154065_ANKRD29	ENSG00000154065	ANKRD29	906	54.30	429	264	29.14	GC2		fast	90
ENSG00000154080_CHST9	ENSG00000154080	CHST9	1317	41.07	740	425	32.27	GC3	70	fast	90
ENSG00000154099_DNAAF1	ENSG00000154099	DNAAF1	1926	54.12	1310	928	48.18	GC1	80	fast	90
ENSG00000154114_TBCEL	ENSG00000154114	TBCEL	1275	45.00	395	228	17.88	GC3		slow	90
ENSG00000154118_JPH3	ENSG00000154118	JPH3	2265	67.13	847	444	19.60		80	slow	80
ENSG00000154122_ANKH	ENSG00000154122	ANKH	1479	55.73	544	310	20.96		70	fast	90
ENSG00000154124_OTULIN	ENSG00000154124	OTULIN	1050	53.39	524	311	29.62	GC1		fast	90
ENSG00000154127_UBASH3B	ENSG00000154127	UBASH3B	1917	53.27	667	391	20.40	GC1		fast	90
ENSG00000154133_ROBO4	ENSG00000154133	ROBO4	3009	64.52	1763	1008	33.50	GC1	70	fast	90
ENSG00000154134_ROBO3	ENSG00000154134	ROBO3	4152	63.58	2468	1255	30.23	GC1	80	fast	90
ENSG00000154143_PANX3	ENSG00000154143	PANX3	1179	53.00	617	338	28.67	GC1	70	slow	80
ENSG00000154144_TBRG1	ENSG00000154144	TBRG1	1236	52.02	586	291	23.54	GC2	70	slow	90
ENSG00000154153_FAM134B	ENSG00000154153	FAM134B	1266	47.80	641	343	27.09	GC2		fast	90
ENSG00000154162_CDH12	ENSG00000154162	CDH12	2385	46.17	779	411	17.23	GC3	70	slow	70
ENSG00000154165_GPR15	ENSG00000154165	GPR15	1083	49.53	590	332	30.66	GC1		slow	80
ENSG00000154174_TOMM70A	ENSG00000154174	TOMM70A	1827	45.48	661	341	18.66	GC3		slow	90
ENSG00000154175_ABI3BP	ENSG00000154175	ABI3BP	3426	46.37	1976	905	26.42	GC3	80	slow	70
